"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\command.tsx", "TypeScript JSX", 0, 135, 0, 0, 0, 17, 152
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\context-menu.tsx", "TypeScript JSX", 0, 181, 0, 0, 0, 18, 199
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 109, 0, 0, 0, 14, 123
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\drawer.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 14, 119
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 182, 0, 0, 0, 18, 200
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\form.tsx", "TypeScript JSX", 0, 153, 0, 0, 0, 26, 179
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\hover-card.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 7, 30
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 8, 70
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\input.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 4, 23
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\label.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 5, 25
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\menubar.tsx", "TypeScript JSX", 0, 217, 0, 0, 0, 20, 237
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 117, 0, 0, 0, 12, 129
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\pagination.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 11, 118
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\popover.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 7, 32
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\progress.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 5, 29
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 5, 43
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\resizable.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 7, 46
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 5, 47
